location,begintime,endtime
ARNEGARD,01-AUG-19 12:09:00,01-AUG-19 12:12:00
STONEHAM,01-AUG-19 14:46:00,01-AUG-19 14:46:00
CLIFFSIDE,01-AUG-19 15:56:00,01-AUG-19 15:56:00
JACKSON,01-JUL-19 15:00:00,01-JUL-19 15:02:00
DUBOIS,01-JUL-19 16:09:00,01-JUL-19 16:09:00
SUMATRA,01-JUL-19 16:45:00,01-JUL-19 16:45:00
WHEATLAND,01-JUL-19 18:03:00,01-JUL-19 18:03:00
LAVERNE,01-JUN-19 07:46:00,01-JUN-19 07:46:00
GUADALUPITA,01-JUN-19 10:39:00,01-JUN-19 10:52:00
SCOFIELD,01-JUN-19 13:28:00,01-JUN-19 13:28:00
(BKF)BUCKLEY AIR FORCE BASE,01-JUN-19 13:35:00,01-JUN-19 13:35:00
WHEELER,01-JUN-19 13:35:00,01-JUN-19 13:35:00
PISTAKEE,01-JUN-19 15:35:00,01-JUN-19 15:36:00
PLEASANT LAKE,01-JUN-19 15:45:00,01-JUN-19 15:46:00
MENTONE,01-JUN-19 16:46:00,01-JUN-19 16:51:00
(DAL)LOVE FLD DALLAS,01-JUN-19 17:25:00,01-JUN-19 17:25:00
AMARILLO,01-JUN-19 19:12:00,01-JUN-19 19:12:00
WHITE SPGS,01-MAR-19 13:33:00,01-MAR-19 13:33:00
COUNTYLINE,01-MAY-19 13:57:00,01-MAY-19 13:57:00
STURGIS MUNI ARPT,01-MAY-19 16:22:00,01-MAY-19 16:22:00
